PC1,PC2
-2.211442627632155,-0.28508241003803186
-2.0267750837401266,-0.24545699354957215
-2.1944246599117534,-0.28338458667593563
-2.092402885438268,-0.31127815514684143
-2.2865853098510724,0.04824198097893816
-2.2104291566920327,-0.2968152258933751
-2.196871578527877,-0.29251070929007045
-2.1393813189880335,-0.20944376487504468
-2.1924169887392413,-0.2481538550660625
-2.186237416034125,-0.2806354468707018
-2.2098428851892575,-0.2649255640340337
-2.2911301306271383,-0.2688401393917599
-2.2014760581563517,-0.27054950921714543
-2.305310532144431,-0.10288144164403103
-2.158933941649724,-0.2607651211436366
-2.2018479343385646,-0.23563692716704418
-2.132931653715982,-0.35556102236070136
-2.2289881909575238,-0.2602075203417213
-2.168366375804257,-0.27505414040549275
-2.1882945749644622,-0.2904939763019633
-2.2228047450288524,-0.24669196187616654
-2.205299122767315,-0.27788785312922754
-2.1458894120216185,-0.15895812080139585
-2.217464142367342,-0.11322087906238394
-2.2508173923650454,-0.22485938398139474
-2.199688311810726,-0.3021422032723602
-2.210297418811986,-0.2739326655823862
-2.23729744442078,-0.3328212284671896
-2.199455205881119,-0.2979388405424851
-2.190324380428089,-0.27152350220930227
-2.044066463764066,-0.2837399227961296
-2.2558544446373148,-0.1100205143775861
-2.138067874677693,-0.2266876891535802
-2.1810925132941454,-0.2615414329361766
-2.0273581248707835,-0.23213189634653544
-2.1388441740282333,-0.23157319525840006
-2.0940883626470495,-0.3493549111045451
-2.2696250771330178,-0.25839617239216767
-2.2044782070854105,-0.1850818097480922
-2.202045501035016,-0.2705155716644553
-2.195249460574579,-0.2792926942836749
-2.206198513183283,-0.2808947486441637
-2.1816585554074193,-0.353961981910138
-2.2069025924423555,-0.2804423719262486
-1.9719694762356266,-0.3501832997258787
-2.19520410613692,-0.28183101733013954
-2.202083009939522,-0.2495751311034451
-2.184989988995857,-0.2752998135466213
-2.2645758488434895,-0.2521300486125543
-2.173921923990082,-0.12486851364535864
-2.1755749302925613,-0.2856860362910865
-2.186981001240613,-0.24504384601451157
